corpus,state,hook,original_gain_pp,floor_gain_pp,floor_ci_low_pp,floor_ci_high_pp,floor_minus_original_pp,original_max_abs_error,floor_max_abs_error,texts_improved,n_texts
provo,prefix,L01,2.868946101694233,3.4121565457784975,2.533164261145697,4.333088879507939,0.5432104440842651,0.39604783328943327,0.40374767403874223,44,55
provo,post,L01,6.576294636120219,6.530773649053699,5.276903852018571,7.819332333696581,-0.04552098706651892,0.4055270345288182,0.40143265597257294,48,55
natural_stories,prefix,L01,-3521.0325168661902,0.6167693081714475,0.20024143592176058,0.9494226846976421,3521.649286174361,69.47012564575891,1.0747707025276458,9,10
natural_stories,post,L01,-9131.484443588231,2.1284950555086892,1.4688715331106952,2.81374354528515,9133.61293864374,111.87825269112464,1.0979991195987706,10,10
