corpus,layer,feature_id,coef,direction,mean_act,pct_active,selection_rate,mean_cv_coef,sign_agreement
provo,1,7101,-0.008506779337855114,negative,0.04286475107073784,3.193916349809886,1.0,-0.007620381902185972,1.0
provo,1,14326,-0.007127700016356607,negative,0.04890918731689453,19.08745247148289,1.0,-0.006250319383232172,1.0
provo,1,13303,-0.005548767120535142,negative,0.03959224745631218,8.136882129277566,1.0,-0.0051662283861969496,1.0
provo,1,11916,-0.005061582707723255,negative,0.008084556087851524,2.167300380228137,1.0,-0.0039556011877315365,1.0
provo,1,2122,-0.005032510920652357,negative,0.006978898774832487,8.70722433460076,1.0,-0.004298484014318279,1.0
provo,1,7661,-0.004446081775575565,negative,0.027482405304908752,3.193916349809886,1.0,-0.0034761585609910904,1.0
provo,1,10540,-0.003968347253383062,negative,0.0027723214589059353,0.11406844106463879,0.8,-0.0036582062257620256,1.0
provo,1,10337,-0.002971762021179033,negative,0.021320035681128502,7.26235741444867,1.0,-0.002009535146370866,1.0
provo,1,15603,0.0028776453728381586,positive,0.09468142688274384,26.92015209125475,0.6,0.0032925029392219464,1.0
provo,1,17111,-0.0027051665730033715,negative,0.000458715163404122,0.11406844106463879,0.8,-0.002206851364569073,1.0
provo,1,23581,0.002629995730971656,positive,0.061787575483322144,26.121673003802282,1.0,0.0015539441802429397,1.0
provo,1,20184,-0.0024498510698112417,negative,0.02518453635275364,2.129277566539924,1.0,-0.0008020444178938842,1.0
provo,1,17627,-0.0023138842401668434,negative,0.01274509634822607,0.7604562737642585,1.0,-0.001412975114128925,1.0
provo,1,16566,0.002264469908334466,positive,0.004141197539865971,0.494296577946768,0.8,0.001870731322864935,1.0
provo,1,23529,-0.002123472616546811,negative,0.024048451334238052,1.1026615969581748,0.8,-0.001737132385731058,1.0
provo,1,8941,-0.0017513999792749969,negative,0.03705606609582901,17.224334600760457,0.6,-0.0022223430729276477,1.0
provo,1,21023,-0.001745793561894715,negative,0.03546364605426788,2.547528517110266,0.8,-0.0013769668379800058,1.0
provo,1,14998,0.0014944260003465564,positive,0.003486262634396553,4.524714828897338,0.8,0.0019511882440579906,1.0
provo,1,19245,-0.0014573106150549632,negative,0.0007338213035836816,0.1520912547528517,0.6,-0.001688250749095924,1.0
provo,1,13953,-0.0014119255864381073,negative,0.007817328907549381,8.821292775665398,0.8,-0.0013389015525092625,1.0
provo,1,470,0.0014012860298559067,positive,0.0018736646743491292,0.11406844106463879,0.6,0.0019262505104684635,1.0
provo,1,10480,-0.0011687539318109535,negative,0.00010688860493246466,0.1520912547528517,0.6,-0.0009528773403025781,1.0
provo,1,22875,-0.0011574007697545017,negative,0.010087667033076286,0.532319391634981,0.4,-0.0013223650268163619,1.0
provo,1,13670,-0.0010985155330352854,negative,0.02040250040590763,2.319391634980988,0.6,-0.0009660210143614556,1.0
provo,1,7259,0.0010638178847859957,positive,0.010360156185925007,1.4448669201520912,0.6,0.0009396297234553662,1.0
provo,1,1678,0.0009302504052479738,positive,0.004717242904007435,1.2167300380228137,0.2,0.002651895844497431,1.0
provo,1,8502,0.0009000734087327438,positive,0.0003041390737053007,0.3041825095057034,0.6,0.0007808765623516114,1.0
provo,1,22160,-0.0007702683566007861,negative,0.0032351077534258366,0.1520912547528517,0.4,-0.000906625422838628,1.0
provo,1,5734,-0.0007526673164448435,negative,0.0023082043044269085,0.11406844106463879,0.6,-0.0008263157435915803,1.0
provo,1,12184,-0.0007391261322548608,negative,0.010904411785304546,0.5703422053231939,0.4,-0.0007193355263496226,1.0
provo,1,2774,0.0007127972970133318,positive,0.0005862308316864073,0.1520912547528517,0.2,0.0011012218386052472,1.0
provo,1,18330,0.000645418433515026,positive,0.05834461376070976,21.254752851711025,0.6,0.0014119385276981445,1.0
provo,1,19388,0.0004933435160398875,positive,0.0020446395501494408,0.5703422053231939,0.4,0.0012840336603535424,1.0
provo,1,74,-0.000396368110408181,negative,0.0007527018897235394,0.19011406844106463,0.2,-0.0008239963203073311,1.0
provo,1,2073,0.00033416777276768124,positive,0.03169114887714386,3.269961977186312,0.2,0.0022705483666084114,1.0
provo,1,1433,0.0003338655098574513,positive,0.004560808185487986,0.19011406844106463,0.4,0.0010122351054930002,1.0
provo,1,19462,-0.0003326422555800014,negative,0.0018245200626552105,0.9125475285171103,0.2,-0.001153061153912743,1.0
provo,1,4500,0.00031214320261705657,positive,0.001475882832892239,0.38022813688212925,0.2,0.0016054701543618856,1.0
provo,1,20679,-0.0003085079701279911,negative,0.0011623295722529292,0.1520912547528517,0.4,-0.0006771053384003758,1.0
provo,1,18020,-0.00027647823841610037,negative,0.002411578083410859,0.11406844106463879,0.4,-0.0006956014645095963,1.0
provo,1,5598,0.00023680581529071225,positive,0.0014657112769782543,0.11406844106463879,0.4,0.0005420573756397234,1.0
provo,1,4319,0.0002314756785543245,positive,0.012342442758381367,10.722433460076045,0.4,0.0006651452607965369,1.0
provo,1,9552,0.00021712224293216626,positive,0.0003532653208822012,0.1520912547528517,0.4,0.0004357100668827479,1.0
provo,1,21286,0.00021672827306480416,positive,0.003195603145286441,0.11406844106463879,0.2,0.0006592889664660026,1.0
provo,1,4401,-0.00019132133525369627,negative,0.004560601897537708,0.19011406844106463,0.4,-0.0003653100214997746,1.0
provo,1,8999,0.0001792717324580917,positive,0.004626101348549128,0.22813688212927757,0.4,0.0004102889497067558,1.0
provo,1,22700,-0.00015371563611221524,negative,0.0023469538427889347,0.11406844106463879,0.4,-0.0005572448196990007,1.0
provo,1,2618,0.00010165634468367837,positive,0.0018178671598434448,0.19011406844106463,0.2,0.0004929224158934949,1.0
provo,1,8122,7.941455416105645e-05,positive,0.012993237003684044,0.7604562737642585,0.0,0.0,0.0
provo,1,9347,4.302644654332057e-05,positive,0.003498787060379982,0.1520912547528517,0.4,0.0003776030075256603,1.0
provo,2,12024,-0.006908715818578235,negative,0.21434688568115234,3.041825095057034,1.0,-0.005330600064666881,1.0
provo,2,22835,0.005129362268649507,positive,0.0939042791724205,2.129277566539924,1.0,0.005698397050996724,1.0
provo,2,23177,-0.00406223368520191,negative,0.14859874546527863,20.53231939163498,1.0,-0.0037421184635373812,1.0
provo,2,22777,-0.0037504464775014535,negative,0.06326735764741898,4.2965779467680605,1.0,-0.0032657633830281323,1.0
provo,2,13730,-0.0037085005411445797,negative,0.01049580704420805,0.494296577946768,1.0,-0.003005529836699543,1.0
provo,2,16162,-0.0035350617192192496,negative,0.2824441194534302,2.9657794676806084,1.0,-0.0019489378300234172,1.0
provo,2,16203,0.0032559888236645424,positive,0.128529891371727,3.650190114068441,1.0,0.002250322288226279,1.0
provo,2,19009,-0.0032365657834405688,negative,0.2252213954925537,26.311787072243348,1.0,-0.0028743473630334164,1.0
provo,2,24393,-0.0030791034369450393,negative,0.09689710289239883,1.1406844106463878,1.0,-0.0025125629103345494,1.0
provo,2,18918,-0.003023131931823976,negative,0.09599347412586212,1.1787072243346008,1.0,-0.0023014595466269655,1.0
provo,2,344,-0.002982272459025708,negative,0.24335433542728424,27.680608365019012,1.0,-0.0024656938142650826,1.0
provo,2,22558,0.002800356307624996,positive,0.043482255190610886,2.2813688212927756,1.0,0.0028194148511902885,1.0
provo,2,13409,-0.002791573089642879,negative,0.059958316385746,3.4600760456273765,1.0,-0.0020223647639499957,1.0
provo,2,24391,-0.002581090989929788,negative,0.018889499828219414,0.6463878326996197,1.0,-0.0020050178976595383,1.0
provo,2,14544,-0.0025801263543781612,negative,0.3986814618110657,4.068441064638783,0.8,-0.001896048625925521,1.0
provo,2,8899,-0.002464289673702687,negative,0.011651581153273582,1.7870722433460076,0.8,-0.0018680730827488742,1.0
provo,2,4878,-0.0023825260802862215,negative,0.21608036756515503,20.722433460076044,0.8,-0.0017390192195484726,1.0
provo,2,13375,-0.0022855597277167856,negative,0.29805848002433777,2.4714828897338403,1.0,-0.001682953328616473,1.0
provo,2,5266,0.0018545952929593169,positive,0.05669420585036278,6.806083650190114,1.0,0.001257600009317012,1.0
provo,2,22704,-0.0018354028745025462,negative,0.005147205200046301,0.494296577946768,0.8,-0.0016021659348182979,1.0
provo,2,11114,-0.0017207098854275312,negative,0.263808012008667,30.418250950570343,1.0,-0.0011875162577492668,1.0
provo,2,16759,0.0017018080875901705,positive,0.00859738141298294,0.7604562737642585,0.8,0.0017074884233008166,1.0
provo,2,19246,-0.001685090141863522,negative,0.01719915121793747,2.2433460076045626,0.8,-0.0018993724914259087,1.0
provo,2,10115,0.001509042333697652,positive,0.14198164641857147,11.292775665399239,0.8,0.001221906846900376,1.0
provo,2,23959,-0.0014372246288121826,negative,0.01048732828348875,3.4600760456273765,0.8,-0.0016182531849161326,1.0
provo,2,9549,-0.0013347793064129585,negative,0.08938806504011154,1.4448669201520912,0.4,-0.002583568737792413,1.0
provo,2,6171,-0.0013132186403558457,negative,0.02174997329711914,2.3574144486692017,0.8,-0.0011286801529508163,1.0
provo,2,10665,0.0013003819181365587,positive,0.037848200649023056,5.741444866920152,0.6,0.001798634535303302,1.0
provo,2,9285,-0.0011646567536579386,negative,0.0446285605430603,2.091254752851711,0.8,-0.0017138509935769224,1.0
provo,2,16588,-0.0010734687052799312,negative,0.06393001973628998,11.44486692015209,0.8,-0.0012384232894987071,1.0
provo,2,15794,-0.0010233141733537792,negative,0.08369691669940948,0.988593155893536,0.8,-0.001021484424696488,1.0
provo,2,18288,-0.0010116993414169368,negative,0.031109672039747238,0.532319391634981,0.4,-0.0009913579904080503,1.0
provo,2,14179,-0.0009381090467814793,negative,0.12404105067253113,0.9125475285171103,0.6,-0.0006984896094565387,1.0
provo,2,9487,0.0009353170760898281,positive,0.15737302601337433,20.722433460076044,0.2,0.002602738532579225,1.0
provo,2,4651,-0.0008430746199798244,negative,0.07174662500619888,0.8745247148288974,0.6,-0.0008342502133434002,1.0
provo,2,1168,-0.0006990687511728324,negative,0.04369208961725235,8.060836501901141,0.4,-0.0008484904667214014,1.0
provo,2,10315,0.000693066661889175,positive,0.3437684178352356,29.315589353612165,0.8,0.000794285533636623,1.0
provo,2,10147,0.0006481519810886987,positive,0.00798956397920847,0.7224334600760456,0.4,0.0008243198046822669,1.0
provo,2,23604,0.0005748023849852663,positive,0.04252691566944122,8.403041825095057,0.6,0.001254455140703597,1.0
provo,2,15610,0.00044799914405641814,positive,0.038482002913951874,7.26235741444867,0.6,0.0007576483591166628,1.0
provo,2,150,0.000445618036445478,positive,0.005591123830527067,0.3422053231939164,0.2,0.00019253011433341811,1.0
provo,2,16230,-0.00044402244437869955,negative,0.022139299660921097,2.8517110266159698,0.4,-0.0013945311446071354,1.0
provo,2,8103,-0.0004129736005680514,negative,0.00047442002687603235,0.38022813688212925,0.2,-0.0012382395586026636,1.0
provo,2,18075,0.00033696416779046114,positive,0.09728949517011642,0.6844106463878328,0.2,0.00028728093031196917,1.0
provo,2,18805,0.00032006783104276374,positive,0.0094635970890522,1.977186311787072,0.4,0.0012539639631842228,1.0
provo,2,796,0.00023335492436201422,positive,0.14239798486232758,1.3307984790874523,0.4,0.0003180349331280674,1.0
provo,2,8100,-0.00022453011752396448,negative,0.06832634657621384,0.6463878326996197,0.2,-0.0006379715009636334,1.0
provo,2,22025,-0.00018435595767947154,negative,0.10450097173452377,4.030418250950571,0.2,-0.0012304937512425335,1.0
provo,2,8637,0.00017640871977799417,positive,0.13873787224292755,1.3688212927756656,0.2,2.388319922796344e-05,1.0
provo,2,14011,-0.00012975118230207906,negative,0.00041314613190479577,0.3422053231939164,0.2,-0.00048205203118545885,1.0
provo,2,2064,0.00012398265184073058,positive,0.03038083203136921,3.193916349809886,0.4,0.0026314142831002953,1.0
provo,2,7663,-0.00012252757820432932,negative,0.011289115995168686,0.6083650190114068,0.0,0.0,0.0
provo,2,13033,0.00011956813863169543,positive,0.0015868655173107982,0.38022813688212925,0.2,0.0005697113440059327,1.0
provo,2,6689,0.00010303295674548588,positive,0.0013495015446096659,0.3422053231939164,0.2,0.00041168078974593953,1.0
provo,2,18540,9.378349431205122e-05,positive,0.007268585730344057,0.38022813688212925,0.0,0.0,0.0
provo,2,1026,9.215953184417978e-05,positive,0.11932578682899475,13.802281368821292,0.0,0.0,0.0
provo,3,3990,0.010941857435747718,positive,0.18300960958003998,3.5361216730038025,1.0,0.008645556827685828,1.0
provo,3,14509,-0.007249900251010799,negative,0.2358851283788681,3.4600760456273765,1.0,-0.005750532021383371,1.0
provo,3,15739,-0.007215764465121814,negative,0.07602085918188095,9.277566539923953,1.0,-0.005837259045236324,1.0
provo,3,23888,-0.005656006176155586,negative,0.06350433081388474,2.8517110266159698,0.8,-0.005124132674922426,1.0
provo,3,18231,-0.005479531593718627,negative,0.3751700222492218,4.410646387832699,1.0,-0.001968827866585912,1.0
provo,3,24460,-0.005288695802135324,negative,0.14877846837043762,0.9505703422053232,1.0,-0.003292924152921077,1.0
provo,3,10596,0.004537740100409429,positive,0.061782512813806534,7.0342205323193925,1.0,0.003819903693302054,1.0
provo,3,2111,-0.004261833772364578,negative,0.03689684718847275,0.6844106463878328,1.0,-0.00264180493860523,1.0
provo,3,18492,-0.00424697342484099,negative,0.0033600484021008015,0.6844106463878328,0.8,-0.0029390101673763694,1.0
provo,3,3564,0.004215083293716784,positive,0.036296211183071136,2.129277566539924,0.8,0.003047846740070622,1.0
provo,3,12189,-0.004037027758350038,negative,0.13814865052700043,17.718631178707227,0.8,-0.002657358115686895,1.0
