corpus,layer,n_words,n_sae_features_available,n_sae_features_selected_final,n_sae_features_selected_stable_60pct,heldout_r2_controls,heldout_r2_controls_surprisal,heldout_r2_controls_sae,heldout_r2_combined,heldout_delta_r2_surprisal,heldout_delta_r2_sae_over_surprisal,heldout_delta_r2_sae_over_controls,lasso_alpha_sae_mean,lasso_alpha_combined_mean,lasso_alpha_combined_final,r_l0_rt,p_l0_rt,controls_ci_low,controls_ci_high,controls_surprisal_ci_low,controls_surprisal_ci_high,controls_sae_ci_low,controls_sae_ci_high,combined_ci_low,combined_ci_high,delta_surprisal_ci_low,delta_surprisal_ci_high,delta_sae_over_surprisal_ci_low,delta_sae_over_surprisal_ci_high,delta_sae_over_controls_ci_low,delta_sae_over_controls_ci_high
natural_stories,1,10246,512,83,50,0.13309008333748817,0.1692395491342683,0.2022523002575961,0.2345107573301124,0.036149465796780134,0.06527120819584409,0.06916221692010793,0.002617066139588042,0.002617066139588042,0.0019144819761699576,0.015628224630425333,0.11368793175556782,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.1412933604693649,0.2411877926182735,0.17947457895571806,0.27055831109939055,0.017157660888597742,0.05206181155241172,0.03858877862315743,0.08718066854599463,0.04430900888299487,0.08879163725211071
natural_stories,2,10246,512,136,77,0.13309008333748817,0.1692395491342683,0.21356646057228346,0.2639450970599655,0.036149465796780134,0.09470554792569719,0.08047637723479528,0.0026170661395880416,0.0031018299003790686,0.0019144819761699576,-0.041367273484162116,2.8070297448557762e-05,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.13513227594612776,0.2601246605638171,0.20183270099171152,0.30221415917843536,0.017157660888597742,0.05206181155241172,0.06801781141525272,0.1203693344311738,0.03134115384803632,0.1146802467198323
natural_stories,3,10246,512,129,79,0.13309008333748817,0.1692395491342683,0.239489981057734,0.2758529925933185,0.036149465796780134,0.10661344345905022,0.10639989772024583,0.002970343533801191,0.002970343533801191,0.0019144819761699576,-0.16250707202869435,1.4125286046814313e-61,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.1867448758625448,0.2757150264295059,0.2240295480649028,0.31004437402845453,0.017157660888597742,0.05206181155241172,0.07908624875594152,0.13232353357734372,0.07403660004535133,0.134151228412155
natural_stories,4,10246,512,140,92,0.13309008333748817,0.1692395491342683,0.20335101239932163,0.24840536548848635,0.036149465796780134,0.07916581635421804,0.07026092906183345,0.0026170661395880416,0.0026170661395880416,0.0019144819761699576,-0.21615654291729702,1.3178092084954524e-108,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.14124736091486464,0.24781822211745877,0.18584511369096207,0.29378080097557263,0.017157660888597742,0.05206181155241172,0.03742463918549573,0.11271197847428484,0.01656200965851123,0.10669736309038552
natural_stories,5,10246,512,155,100,0.13309008333748817,0.1692395491342683,0.21333056403909145,0.24903922890290608,0.036149465796780134,0.07979967976863778,0.08024048070160328,0.002925191203272494,0.002748552506165919,0.0019144819761699576,-0.1889599511521292,5.500226813227963e-83,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.1606820611683105,0.24822063017052529,0.19683828782361917,0.2869906938888247,0.017157660888597742,0.05206181155241172,0.052644321582182615,0.1048693456220941,0.05694884575560467,0.10253085208968818
natural_stories,6,10246,512,107,99,0.13309008333748817,0.1692395491342683,0.17689881092007498,0.21954201322009248,0.036149465796780134,0.05030246408582417,0.043808727582586804,0.002925191203272494,0.002440427442481467,0.0025719138090593446,-0.18946455333410184,1.9892448092416233e-83,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.10747216053313093,0.22954876291799936,0.1475356749722186,0.2725647560846307,0.017157660888597742,0.05206181155241172,-0.0036395709299675803,0.09246614828957693,-0.01965292599363853,0.08881531773448982
natural_stories,7,10246,512,160,110,0.13309008333748817,0.1692395491342683,0.1841722089225104,0.21959199900590098,0.036149465796780134,0.050352449871632676,0.05108212558502223,0.0027937048366946165,0.0025191902784146496,0.0019144819761699576,-0.21912121772157156,1.2608347328241118e-111,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.11833655654808814,0.22940006587749417,0.14909825396278434,0.26589573768132335,0.017157660888597742,0.05206181155241172,0.007135462664493286,0.08495992019248737,0.009479610269583653,0.08534761350683534
natural_stories,8,10246,512,152,98,0.13309008333748817,0.1692395491342683,0.18450477275337207,0.22354822346366887,0.036149465796780134,0.054308674329400564,0.051414689415883896,0.002925191203272494,0.002748552506165919,0.0019144819761699576,-0.2421739175125922,1.1732764425043097e-136,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.12591234948111132,0.22118560560077868,0.16620117926598424,0.25752114650342073,0.017157660888597742,0.05206181155241172,0.02256908860501325,0.07968461648741858,0.02321517975831144,0.07498330002210171
natural_stories,9,10246,512,164,108,0.13309008333748817,0.1692395491342683,0.19558427262289668,0.2301584905736649,0.036149465796780134,0.06091894143939658,0.06249418928540851,0.0027937048366946165,0.0026170661395880416,0.0019144819761699576,-0.24038463856262687,1.2942054105456037e-134,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.12918333087874095,0.2327062310345231,0.16652544917132286,0.2666108900649743,0.017157660888597742,0.05206181155241172,0.028120321704279257,0.09196109539139197,0.031548438338292635,0.0932581268242357
natural_stories,10,10246,512,157,110,0.13309008333748817,0.1692395491342683,0.18620680604041395,0.22025675676697465,0.036149465796780134,0.05101720763270634,0.05311672270292578,0.0027937048366946165,0.0026958289755212245,0.0019144819761699576,-0.23800151643083148,6.400517512143243e-132,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.11572509463293915,0.2290324440105197,0.14626147877173468,0.26447349080124266,0.017157660888597742,0.05206181155241172,0.004778968114023912,0.08949387241613349,0.01789721834351035,0.08936999550512412
natural_stories,11,10246,512,153,92,0.13309008333748817,0.1692395491342683,0.1477513063295265,0.18923796714117203,0.036149465796780134,0.019998418006903718,0.014661222992038314,0.005540168523918183,0.002970343533801191,0.0019144819761699576,-0.21843301865183123,6.390420420753332e-111,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.07350665572103302,0.19717460722280464,0.11633331812567632,0.23716143609037307,0.017157660888597742,0.05206181155241172,-0.01835872228206527,0.05099867305385267,-0.025614046022040194,0.04818619340703055
natural_stories,12,10246,512,43,43,0.13309008333748817,0.1692395491342683,0.14457131057254347,0.1865888639378962,0.036149465796780134,0.01734931480362789,0.011481227235055291,0.007311172330939243,0.0038424826868748247,0.004641588833612777,-0.18468339882552093,2.712079790441168e-79,0.08490201118621774,0.15854853497246743,0.12203168269746234,0.1955659597849065,0.09517057763166055,0.18125857108933235,0.13765821728215788,0.22351900183306952,0.017157660888597742,0.05206181155241172,-0.020828864406291385,0.05877560336560894,-0.01958313825620782,0.04839224442252954
