fold,n_train,n_test,r2_controls,r2_controls_surprisal
1,8210,2036,0.16427584055163735,0.15949723500134427
2,8183,2063,0.1129760653769123,0.15205777896022765
3,8185,2061,0.04161754748404167,0.08753376098465249
4,8209,2037,0.08223378921993607,0.12124966639126467
5,8197,2049,0.16614239424311583,0.22750827420731645
