corpus,layer,fold,n_train,n_test,r2_controls,r2_controls_surprisal,r2_controls_sae,r2_combined
provo,1,1,2104,526,0.13821169488153673,0.14763135664494953,0.18315962904322014,0.19300732076487903
provo,1,2,2104,526,0.12282364920720379,0.1272380008991294,0.1536862193409293,0.1594113674762525
provo,1,3,2103,527,0.18426540992987928,0.18208966267921445,0.2300602609258059,0.23300992459936942
provo,1,4,2104,526,0.1102003730597706,0.12089637990782998,0.1487502546603371,0.16276320613566297
provo,1,5,2105,525,0.1679839919428764,0.18230521827633006,0.202630884511259,0.2143069397353965
provo,2,1,2104,526,0.13821169488153673,0.14763135664494953,0.17431899085732516,0.18374889983208398
provo,2,2,2104,526,0.12282364920720379,0.1272380008991294,0.16288898021596743,0.17030112223706617
provo,2,3,2103,527,0.18426540992987928,0.18208966267921445,0.22149730208782137,0.2180161944437714
provo,2,4,2104,526,0.1102003730597706,0.12089637990782998,0.1726816575657193,0.18181971207301606
provo,2,5,2105,525,0.1679839919428764,0.18230521827633006,0.18970407179091653,0.20071671110871048
provo,3,1,2104,526,0.13821169488153673,0.14763135664494953,0.19148673890108436,0.19996614734439966
provo,3,2,2104,526,0.12282364920720379,0.1272380008991294,0.1657683991833493,0.18326742947165686
provo,3,3,2103,527,0.18426540992987928,0.18208966267921445,0.23954741167611604,0.24033798754354185
provo,3,4,2104,526,0.1102003730597706,0.12089637990782998,0.18206321718675944,0.19272902382067403
provo,3,5,2105,525,0.1679839919428764,0.18230521827633006,0.1836119393802823,0.18905182204898419
provo,4,1,2104,526,0.13821169488153673,0.14763135664494953,0.17888484528049275,0.1842867223545469
provo,4,2,2104,526,0.12282364920720379,0.1272380008991294,0.16085215492512217,0.17205697813368626
provo,4,3,2103,527,0.18426540992987928,0.18208966267921445,0.22864966121189678,0.22842124367150907
provo,4,4,2104,526,0.1102003730597706,0.12089637990782998,0.14877691430683082,0.16036266529425225
provo,4,5,2105,525,0.1679839919428764,0.18230521827633006,0.19890583259705885,0.20597620179475762
provo,5,1,2104,526,0.13821169488153673,0.14763135664494953,0.18691793104486254,0.19379131658665616
provo,5,2,2104,526,0.12282364920720379,0.1272380008991294,0.15541911722355717,0.15928851388641896
