corpus,layer,fold,n_train,n_test,r2_controls,r2_controls_surprisal,r2_controls_sae,r2_combined
natural_stories,1,1,8210,2036,0.16427584055163735,0.15949723500134427,0.2519402978594225,0.24676945671992312
natural_stories,1,2,8183,2063,0.1129760653769123,0.15205777896022854,0.19007127111705857,0.22901414032272094
natural_stories,1,3,8185,2061,0.04161754748404167,0.08753376098465304,0.1238954386342741,0.1642761269735643
natural_stories,1,4,8209,2037,0.08223378921993607,0.12124966639126356,0.15038608246211682,0.18607861281391025
natural_stories,1,5,8197,2049,0.16614239424311583,0.227508274207316,0.2109603054890843,0.2633599180299465
natural_stories,2,1,8210,2036,0.16427584055163735,0.15949723500134427,0.18305140274268616,0.2906484329935345
natural_stories,2,2,8183,2063,0.1129760653769123,0.15205777896022854,0.20482852900584392,0.24882823573856172
natural_stories,2,3,8185,2061,0.04161754748404167,0.08753376098465304,0.14932736141474456,0.17975087567852788
natural_stories,2,4,8209,2037,0.08223378921993607,0.12124966639126356,0.17023361631956202,0.20661151749974116
natural_stories,2,5,8197,2049,0.16614239424311583,0.227508274207316,0.27053933234056327,0.3058604772406246
natural_stories,3,1,8210,2036,0.16427584055163735,0.15949723500134427,0.23614424397899125,0.2573303393966656
natural_stories,3,2,8183,2063,0.1129760653769123,0.15205777896022854,0.20291354189191413,0.24517921495759754
natural_stories,3,3,8185,2061,0.04161754748404167,0.08753376098465304,0.17780609205291031,0.23063905407276042
natural_stories,3,4,8209,2037,0.08223378921993607,0.12124966639126356,0.18782764830783072,0.2226094589668941
natural_stories,3,5,8197,2049,0.16614239424311583,0.227508274207316,0.2998649555574644,0.337083319879777
natural_stories,4,1,8210,2036,0.16427584055163735,0.15949723500134427,0.14753553028295574,0.178794743340829
natural_stories,4,2,8183,2063,0.1129760653769123,0.15205777896022854,0.1862823972305654,0.2315845712905703
natural_stories,4,3,8185,2061,0.04161754748404167,0.08753376098465304,0.13809119814586523,0.1901609305217955
natural_stories,4,4,8209,2037,0.08223378921993607,0.12124966639126356,0.17664073931865898,0.2193928775469406
natural_stories,4,5,8197,2049,0.16614239424311583,0.227508274207316,0.2740959474516862,0.3303273319316702
natural_stories,5,1,8210,2036,0.16427584055163735,0.15949723500134427,0.23631398591045283,0.2305558176166147
natural_stories,5,2,8183,2063,0.1129760653769123,0.15205777896022854,0.18068311237510426,0.2210991849109326
natural_stories,5,3,8185,2061,0.04161754748404167,0.08753376098465304,0.13632806174390066,0.19015635445834522
natural_stories,5,4,8209,2037,0.08223378921993607,0.12124966639126356,0.15710068410014733,0.19498955924492378
natural_stories,5,5,8197,2049,0.16614239424311583,0.227508274207316,0.2614776788211278,0.3164617664049154
natural_stories,6,1,8210,2036,0.16427584055163735,0.15949723500134427,0.1295501063482437,0.150488979285323
natural_stories,6,2,8183,2063,0.1129760653769123,0.15205777896022854,0.15983825770129645,0.1990776716317535
natural_stories,6,3,8185,2061,0.04161754748404167,0.08753376098465304,0.09157008023622049,0.14385259991368804
natural_stories,6,4,8209,2037,0.08223378921993607,0.12124966639126356,0.14643640540482206,0.1936890865320713
natural_stories,6,5,8197,2049,0.16614239424311583,0.227508274207316,0.25542813215378846,0.3110103765377573
natural_stories,7,1,8210,2036,0.16427584055163735,0.15949723500134427,0.1806318990573682,0.19325467307988653
natural_stories,7,2,8183,2063,0.1129760653769123,0.15205777896022854,0.11594626181879508,0.14708340599311287
natural_stories,7,3,8185,2061,0.04161754748404167,0.08753376098465304,0.10852571749841611,0.156563221783651
natural_stories,7,4,8209,2037,0.08223378921993607,0.12124966639126356,0.16993168078455012,0.2007375794068278
natural_stories,7,5,8197,2049,0.16614239424311583,0.227508274207316,0.2435262289509561,0.29806614235473095
natural_stories,8,1,8210,2036,0.16427584055163735,0.15949723500134427,0.22568828862321777,0.2454638784006864
natural_stories,8,2,8183,2063,0.1129760653769123,0.15205777896022854,0.10689731229461752,0.14684607892071766
natural_stories,8,3,8185,2061,0.04161754748404167,0.08753376098465304,0.09781805097924967,0.14785767529441907
natural_stories,8,4,8209,2037,0.08223378921993607,0.12124966639126356,0.15905795818706558,0.19445266369420333
natural_stories,8,5,8197,2049,0.16614239424311583,0.227508274207316,0.2297165712954672,0.28194777274653393
natural_stories,9,1,8210,2036,0.16427584055163735,0.15949723500134427,0.23806048187378182,0.2481139905135642
natural_stories,9,2,8183,2063,0.1129760653769123,0.15205777896022854,0.12699829538117668,0.1626315796787241
natural_stories,9,3,8185,2061,0.04161754748404167,0.08753376098465304,0.08671749129867468,0.12687840829292807
natural_stories,9,4,8209,2037,0.08223378921993607,0.12124966639126356,0.17935093283764936,0.21376051471041935
natural_stories,9,5,8197,2049,0.16614239424311583,0.227508274207316,0.24204184074438462,0.2946920271801008
natural_stories,10,1,8210,2036,0.16427584055163735,0.15949723500134427,0.2314588412214279,0.23865194018105274
natural_stories,10,2,8183,2063,0.1129760653769123,0.15205777896022854,0.11960924436654341,0.14188032953298324
natural_stories,10,3,8185,2061,0.04161754748404167,0.08753376098465304,0.07683243007760732,0.12392380370601963
natural_stories,10,4,8209,2037,0.08223378921993607,0.12124966639126356,0.17410313277844514,0.21208188179984044
natural_stories,10,5,8197,2049,0.16614239424311583,0.227508274207316,0.2255201619764946,0.280246148415341
natural_stories,11,1,8210,2036,0.16427584055163735,0.15949723500134427,0.16427584055163713,0.20196497029898386
natural_stories,11,2,8183,2063,0.1129760653769123,0.15205777896022854,0.1097608839963009,0.14455910042950015
natural_stories,11,3,8185,2061,0.04161754748404167,0.08753376098465304,0.02527400987093098,0.07715007062193047
natural_stories,11,4,8209,2037,0.08223378921993607,0.12124966639126356,0.10139432963973438,0.13586574023581321
natural_stories,11,5,8197,2049,0.16614239424311583,0.227508274207316,0.22377489102864268,0.2741649169676378
natural_stories,12,1,8210,2036,0.16427584055163735,0.15949723500134427,0.16427584055163713,0.20869040185684185
natural_stories,12,2,8183,2063,0.1129760653769123,0.15205777896022854,0.1143496218130311,0.15323524627983465
natural_stories,12,3,8185,2061,0.04161754748404167,0.08753376098465304,0.06321186300709714,0.10670176674795029
natural_stories,12,4,8209,2037,0.08223378921993607,0.12124966639126356,0.13094772823409262,0.1722933533640939
natural_stories,12,5,8197,2049,0.16614239424311583,0.227508274207316,0.15913149379554203,0.20362123759348094
