fold,n_train,n_test,r2_controls,r2_controls_surprisal
1,2104,526,0.13821169488153673,0.14763135664494975
2,2104,526,0.12282364920720379,0.12723800089912918
3,2103,527,0.18426540992987928,0.18208966267921467
4,2104,526,0.1102003730597706,0.12089637990783042
5,2105,525,0.1679839919428764,0.1823052182763305
