text_id,word_position,FFD,TRT,word,word_clean,zipf_freq,log_unigram_freq,word_length,log_FFD,log_TRT,corpus,primary_RT,log_primary_RT,row_uid,surprisal,hidden_row_idx,token_ids_str,n_tokens,start_token_idx,end_token_idx,hidden_token_idx
1,2,182.41666666666663,220.8452380952381,are,are,6.74,-2.259637302609493,3,5.206293447734862,5.397462176095059,provo,182.41666666666663,5.206293447734862,provo:1:2,,0,[533],1,0,0,0
1,3,182.76666666666668,186.5952380952381,now,now,6.18,-2.8210230239456076,3,5.208210293741893,5.228941768769496,provo,182.76666666666668,5.208210293741893,provo:1:3,9.602639198303223,1,[783],1,1,1,1
1,4,193.53333333333333,363.4166666666667,rumblings,rumblings,2.59,-6.409938769196257,9,5.26544976292242,5.895550018054766,provo,193.53333333333333,5.26544976292242,provo:1:4,21.732053756713867,2,"[374, 2178, 17783]",3,2,4,4
1,5,209.7962962962963,200.96428571428572,that,that,7.01,-1.9913998239802937,4,5.3461370423092145,5.303127209258075,provo,209.7962962962963,5.3461370423092145,provo:1:5,1.4818065166473389,3,[326],1,5,5,5
1,6,198.56521739130432,201.6547619047619,Apple,apple,4.76,-4.2403314000162755,5,5.291117597255849,5.306557135743068,provo,198.56521739130432,5.291117597255849,provo:1:6,8.228249549865723,4,[4196],1,6,6,6
1,7,223.8904109589041,259.14285714285717,might,might,5.66,-3.340083704898545,5,5.411156695349067,5.557379481619769,provo,223.8904109589041,5.411156695349067,provo:1:7,4.204497814178467,5,[1244],1,7,7,7
1,8,204.0,188.3809523809524,soon,soon,5.32,-3.6798535060925928,4,5.318119993844216,5.23846625501918,provo,204.0,5.318119993844216,provo:1:8,4.537541389465332,6,[2582],1,8,8,8
1,9,216.35064935064935,270.29761904761904,invade,invade,3.61,-5.390394920279776,6,5.376900468056033,5.5995236446887375,provo,216.35064935064935,5.376900468056033,provo:1:9,14.264548301696777,7,[30419],1,9,9,9
1,10,199.79310344827587,79.55952380952381,the,the,7.73,-1.2700257134917023,3,5.297282348342821,4.376505468667757,provo,199.79310344827587,5.297282348342821,provo:1:10,1.1605758666992188,8,[262],1,10,10,10
1,11,241.3,332.89285714285717,smart,smart,4.83,-4.170052661611381,5,5.4860409726309864,5.807820687885953,provo,241.3,5.4860409726309864,provo:1:11,9.46038818359375,9,[4451],1,11,11,11
1,12,243.9857142857143,361.07142857142856,watch,watch,5.34,-3.659555686851944,5,5.497109675569833,5.889075801839313,provo,243.9857142857143,5.497109675569833,provo:1:12,6.052783012390137,10,[2342],1,12,12,12
1,13,235.49333333333337,298.07142857142856,"space,",space,5.23,-3.769550823154459,5,5.461682604492437,5.697333150976294,provo,235.49333333333337,5.461682604492437,provo:1:13,8.489280700683594,11,"[2272, 11]",2,13,14,14
1,14,238.17910447761193,283.26190476190476,though,though,5.5,-3.5003127799466554,6,5.47302293047726,5.646371928193158,provo,238.17910447761193,5.47302293047726,provo:1:14,6.064347743988037,12,[996],1,15,15,15
1,15,190.9189189189189,94.39285714285714,the,the,7.73,-1.2700257134917023,3,5.251848829639571,4.547465404429086,provo,190.9189189189189,5.251848829639571,provo:1:15,3.118356466293335,13,[262],1,16,16,16
1,16,201.21052631578948,240.20238095238096,company,company,5.6,-3.40011681880711,7,5.304351754529972,5.481481821971364,provo,201.21052631578948,5.304351754529972,provo:1:16,2.0776045322418213,14,[1664],1,17,17,17
1,17,139.05263157894737,73.3452380952381,is,is,7.07,-1.9318141345419195,2,4.93485250591583,4.295177582171257,provo,139.05263157894737,4.93485250591583,provo:1:17,3.3922338485717773,15,[318],1,18,18,18
1,18,173.04819277108433,333.60714285714283,maintaining,maintaining,4.25,-4.749577557841319,11,5.153570126635225,5.809964081697645,provo,173.04819277108433,5.153570126635225,provo:1:18,10.76820182800293,16,[10941],1,19,19,19
1,19,180.8048780487805,114.70238095238096,its,its,6.14,-2.86012088212815,3,5.197418427952412,4.7423407820051535,provo,180.8048780487805,5.197418427952412,provo:1:19,3.440037250518799,17,[663],1,20,20,20
1,20,212.47560975609755,492.3809523809524,customary,customary,3.53,-5.469787490939204,9,5.358827204158652,6.199252710338997,provo,212.47560975609755,5.358827204158652,provo:1:20,14.033546447753906,18,[33093],1,21,21,21
1,21,213.48,275.5,silence.,silence,4.46,-4.5406060042764365,7,5.363543151465744,5.6185876285929695,provo,213.48,5.363543151465744,provo:1:21,5.338743209838867,19,"[9550, 13]",2,22,23,23
1,22,190.8125,38.154761904761905,The,the,7.73,-1.2700257134917023,3,5.251291270495097,3.641650570511457,provo,190.8125,5.251291270495097,provo:1:22,3.951192617416382,20,[383],1,24,24,24
1,23,237.72972972972977,314.0,watch,watch,5.34,-3.659555686851944,5,5.471134439030427,5.749392985908253,provo,237.72972972972977,5.471134439030427,provo:1:23,8.03944206237793,21,[2342],1,25,25,25
1,24,201.9078947368421,245.3809523809524,doesn't,doesn't,5.53,-3.4698001736864703,7,5.3078116267675055,5.502811910604802,provo,201.9078947368421,5.3078116267675055,provo:1:24,7.980283260345459,22,"[1595, 470]",2,26,27,27
1,25,203.59615384615384,150.39285714285714,have,have,6.71,-2.2898826264224046,4,5.316138393761952,5.013250917986724,provo,203.59615384615384,5.316138393761952,provo:1:25,3.1285831928253174,23,[423],1,28,28,28
1,26,178.52173913043478,51.285714285714285,a,a,7.36,-1.6401645157636295,1,5.1847103816497295,3.9374122394329656,provo,178.52173913043478,5.1847103816497295,provo:1:26,1.4793815612792969,24,[257],1,29,29,29
