corpus,label,hook,policy,n_windows,n_scored_tokens,original_nll_bits,reconstruction_nll_bits,zero_nll_bits,nll_increase_bits,kl_bits,loss_recovered,identity_kl_bits
provo,L01,blocks.0.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.661594843460342,18.111856565637105,0.03750999297125901,0.028234576072417524,0.9969962621173033,0.0
provo,L01,blocks.0.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.661594843460342,18.111856565637105,0.03750999297125901,0.028234576072417524,0.9969962621173033,0.0
provo,L02,blocks.1.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.694188364481522,11.232383812888195,0.0701035139924393,0.038278024335849536,0.9875000397691976,0.0
provo,L02,blocks.1.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.694188364481522,11.232383812888195,0.0701035139924393,0.038278024335849536,0.9875000397691976,0.0
provo,L03,blocks.2.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.720520401405076,11.804834697206141,0.09643555091599332,0.08935044803735559,0.9843974350511507,0.0
provo,L03,blocks.2.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.720520401405076,11.804834697206141,0.09643555091599332,0.08935044803735559,0.9843974350511507,0.0
provo,L04,blocks.3.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.820326358585034,18.299586344573456,0.19624150809595164,0.15895714033079344,0.984518047811557,0.0
provo,L04,blocks.3.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.820326358585034,18.299586344573456,0.19624150809595164,0.15895714033079344,0.984518047811557,0.0
provo,L05,blocks.4.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.758588275666964,17.215843075412813,0.13450342517788183,0.14182591103648728,0.9883966329724958,0.0
provo,L05,blocks.4.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.758588275666964,17.215843075412813,0.13450342517788183,0.14182591103648728,0.9883966329724958,0.0
provo,L06,blocks.5.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.8392266621023925,18.923417915732173,0.21514181161330992,0.19684941182702276,0.983823112741227,0.0
provo,L06,blocks.5.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.8392266621023925,18.923417915732173,0.21514181161330992,0.19684941182702276,0.983823112741227,0.0
provo,L07,blocks.6.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.857517838478088,14.91335135395244,0.2334329879890058,0.2101482614495996,0.9748706759675834,0.0
provo,L07,blocks.6.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.857517838478088,14.91335135395244,0.2334329879890058,0.2101482614495996,0.9748706759675834,0.0
provo,L08,blocks.7.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.837849107839293,20.430722382109042,0.21376425735021076,0.2331139248937873,0.985562943855841,0.0
provo,L08,blocks.7.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.837849107839293,20.430722382109042,0.21376425735021076,0.2331139248937873,0.985562943855841,0.0
provo,L09,blocks.8.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.916767449702247,15.76956893629947,0.29268259921316453,0.2515743982867669,0.971151440706263,0.0
provo,L09,blocks.8.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.916767449702247,15.76956893629947,0.29268259921316453,0.2515743982867669,0.971151440706263,0.0
provo,L10,blocks.9.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.909679220894636,19.842596401602535,0.285594370405553,0.2308200098321599,0.9799139052369243,0.0
provo,L10,blocks.9.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.909679220894636,19.842596401602535,0.285594370405553,0.2308200098321599,0.9799139052369243,0.0
provo,L11,blocks.10.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.998013106443114,16.72909324047929,0.37392825595403156,0.3197552162711903,0.966327962769386,0.0
provo,L11,blocks.10.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.998013106443114,16.72909324047929,0.37392825595403156,0.3197552162711903,0.966327962769386,0.0
provo,L12,blocks.11.hook_resid_pre,protect_bos,4,236,5.624084850489083,5.971850389141148,14.435931068355755,0.34776553865206505,0.33665924708722,0.960534315959016,0.0
provo,L12,blocks.11.hook_resid_pre,protect_window_start,4,236,5.624084850489083,5.971850389141148,14.435931068355755,0.34776553865206505,0.33665924708722,0.960534315959016,0.0
provo,final_resid_post,blocks.11.hook_resid_post,protect_bos,4,236,5.624084850489083,6.1574510760226495,11.485670150336572,0.5333662255335669,0.4476775365360713,0.9090064891578999,0.0
provo,final_resid_post,blocks.11.hook_resid_post,protect_window_start,4,236,5.624084850489083,6.1574510760226495,11.485670150336572,0.5333662255335669,0.4476775365360713,0.9090064891578999,0.0
natural_stories,L01,blocks.0.hook_resid_pre,protect_bos,4,319,4.704267832179054,4.839280384087638,22.696359359358546,0.1350125519085834,0.13069802735199373,0.9924960057198117,0.0
natural_stories,L01,blocks.0.hook_resid_pre,protect_window_start,4,319,4.704267832179054,4.700446067558934,24.22074931392849,-0.0038217646201204047,0.01484006510165789,1.0001958224193073,0.0
natural_stories,L02,blocks.1.hook_resid_pre,protect_bos,4,319,4.704267832179054,11.099085363848456,10.770316213649641,6.394817531669402,5.943054307450695,-0.054198240687145884,0.0
natural_stories,L02,blocks.1.hook_resid_pre,protect_window_start,4,319,4.704267832179054,4.7364191530640225,10.790193201979873,0.03215132088496819,0.034551342312818735,0.9947171023416574,0.0
natural_stories,L03,blocks.2.hook_resid_pre,protect_bos,4,319,4.704267832179054,7.862047781391204,11.433300735808466,3.1577799492121494,2.948840605661413,0.5307230631152138,0.0
natural_stories,L03,blocks.2.hook_resid_pre,protect_window_start,4,319,4.704267832179054,4.796934749639147,11.431003594473237,0.09266691746009226,0.09795881611613264,0.986224088363999,0.0
natural_stories,L04,blocks.3.hook_resid_pre,protect_bos,4,319,4.704267832179054,4.950404838334804,20.27516340536757,0.24613700615574974,0.23854457682763516,0.984192495222974,0.0
natural_stories,L04,blocks.3.hook_resid_pre,protect_window_start,4,319,4.704267832179054,4.950301327301791,20.86162898383544,0.2460334951227363,0.23796151111305316,0.984772668456599,0.0
natural_stories,L05,blocks.4.hook_resid_pre,protect_bos,4,319,4.704267832179054,4.911845370146175,21.887626934948386,0.2075775379671203,0.23870919481340247,0.9879198510183225,0.0
natural_stories,L05,blocks.4.hook_resid_pre,protect_window_start,4,319,4.704267832179054,4.912395356217148,16.36967762435865,0.20812752403809398,0.23786025127647065,0.9821585758455206,0.0
natural_stories,L06,blocks.5.hook_resid_pre,protect_bos,4,319,4.704267832179054,4.964502685869749,21.697729284113105,0.26023485369069466,0.2146583220054363,0.9846861774202524,0.0
natural_stories,L06,blocks.5.hook_resid_pre,protect_window_start,4,319,4.704267832179054,4.964221331019386,17.904481188256913,0.25995349884033203,0.2140037486545718,0.9803068714248744,0.0
natural_stories,L07,blocks.6.hook_resid_pre,protect_bos,4,319,4.704267832179054,5.015664755363823,17.028456457729998,0.31139692318476886,0.26740327327976404,0.9747328661832415,0.0
natural_stories,L07,blocks.6.hook_resid_pre,protect_window_start,4,319,4.704267832179054,5.014099079239704,15.77506718889673,0.30983124706065013,0.26595020845392275,0.9720136516725283,0.0
natural_stories,L08,blocks.7.hook_resid_pre,protect_bos,4,319,4.704267832179054,5.004900817213388,18.219381810729406,0.30063298503433344,0.2611826870321854,0.9777557935869824,0.0
natural_stories,L08,blocks.7.hook_resid_pre,protect_window_start,4,319,4.704267832179054,5.00479778451232,17.3828603630903,0.3005299523332656,0.2603522071083511,0.9762962685644677,0.0
natural_stories,L09,blocks.8.hook_resid_pre,protect_bos,4,319,4.704267832179054,4.934328956663795,15.309083944577782,0.2300611244847408,0.2549730201126266,0.9783059770158804,0.0
natural_stories,L09,blocks.8.hook_resid_pre,protect_window_start,4,319,4.704267832179054,4.934356699916636,15.216280276498825,0.23008886773758164,0.25452673939701903,0.9781118155104629,0.0
natural_stories,L10,blocks.9.hook_resid_pre,protect_bos,4,319,4.704267832179054,4.964408763897456,22.30109689527171,0.2601409317184018,0.24405786404415358,0.9852166017646884,0.0
natural_stories,L10,blocks.9.hook_resid_pre,protect_window_start,4,319,4.704267832179054,4.964568622433654,19.46903541469275,0.2603007902545995,0.24369231679222797,0.9823701396720339,0.0
natural_stories,L11,blocks.10.hook_resid_pre,protect_bos,4,319,4.704267832179054,5.110546067216927,16.632056053903035,0.4062782350378731,0.313220297654968,0.965938510351993,0.0
natural_stories,L11,blocks.10.hook_resid_pre,protect_window_start,4,319,4.704267832179054,5.11059715306871,16.141929016591614,0.4063293208896557,0.31264708856803863,0.9644744398056302,0.0
natural_stories,L12,blocks.11.hook_resid_pre,protect_bos,4,319,4.704267832179054,5.175960878593421,14.274127188894816,0.4716930464143667,0.3647971923074752,0.9507105560455963,0.0
natural_stories,L12,blocks.11.hook_resid_pre,protect_window_start,4,319,4.704267832179054,5.176601556401268,14.216982976022559,0.47233372422221365,0.3647174304555576,0.950347117822833,0.0
natural_stories,final_resid_post,blocks.11.hook_resid_post,protect_bos,4,319,4.704267832179054,5.382776782056754,11.296037817449779,0.6785089498776999,0.5243834589716035,0.8970672594168448,0.0
natural_stories,final_resid_post,blocks.11.hook_resid_post,protect_window_start,4,319,4.704267832179054,5.382776782056754,11.296037817449779,0.6785089498776999,0.5243834589716035,0.8970672594168448,0.0
