corpus,hook,label,kind,group,n_rows,mean_active,fraction_zero_rows,mean_relative_l2_error,mean_cosine_similarity,reconstruction_r2_centered
provo,blocks.0.hook_resid_pre,L01,post,all,2743,12.613926358002187,0.0,0.0446919724345207,0.996838927268982,0.9805773317637706
provo,blocks.0.hook_resid_pre,L01,prefix,all,2743,12.644185198687568,0.0,0.0442377366125583,0.9968450665473938,0.983302661472722
provo,blocks.0.hook_resid_pre,L01,prefix,text_token,2688,12.780133928571429,0.0,0.0450887270271778,0.9967805743217468,0.9802172585413491
provo,blocks.0.hook_resid_pre,L01,prefix,bos,55,6.0,0.0,0.0026475056074559,0.9999966025352478,
provo,blocks.1.hook_resid_pre,L02,post,all,2743,14.092599343784178,0.0,0.113442949950695,0.9927332997322084,0.946214600204915
provo,blocks.1.hook_resid_pre,L02,prefix,all,2743,14.0156762668611,0.0,0.1117240637540817,0.9928128719329834,0.966207879760755
provo,blocks.1.hook_resid_pre,L02,prefix,text_token,2688,14.20014880952381,0.0,0.1139202564954757,0.992665946483612,0.9459115305013093
provo,blocks.1.hook_resid_pre,L02,prefix,bos,55,5.0,0.0,0.0043903007172048,0.9999936819076538,
provo,blocks.2.hook_resid_pre,L03,post,all,2743,18.65840320816624,0.0,0.1273341923952102,0.99097341299057,0.9405916836884809
provo,blocks.2.hook_resid_pre,L03,prefix,all,2743,18.61611374407583,0.0,0.1257359087467193,0.9910469651222228,0.992808185902514
provo,blocks.2.hook_resid_pre,L03,prefix,text_token,2688,18.81287202380953,0.0,0.1281580626964569,0.9908639788627625,0.9401528781790381
provo,blocks.2.hook_resid_pre,L03,prefix,bos,55,9.0,0.0,0.0073579815216362,0.9999939799308776,
provo,blocks.3.hook_resid_pre,L04,post,all,2743,26.68173532628509,0.0,0.1683919131755828,0.9849196076393129,0.9137335609845819
provo,blocks.3.hook_resid_pre,L04,prefix,all,2743,26.561793656580388,0.0,0.1660657078027725,0.9850642681121826,0.9990444740468147
provo,blocks.3.hook_resid_pre,L04,prefix,text_token,2688,26.85974702380953,0.0,0.1693741232156753,0.984758734703064,0.9133404955705959
provo,blocks.3.hook_resid_pre,L04,prefix,bos,55,12.0,0.0,0.0043741767294704,0.9999923706054688,
provo,blocks.4.hook_resid_pre,L05,post,all,2743,34.38570907765221,0.0,0.2015290558338165,0.9787406325340272,0.8923360910356062
provo,blocks.4.hook_resid_pre,L05,prefix,all,2743,34.12285818446956,0.0,0.1986396461725235,0.9789631366729736,0.9986582091300295
provo,blocks.4.hook_resid_pre,L05,prefix,text_token,2688,34.595982142857146,0.0,0.2026160955429077,0.9785327911376952,0.8919893891844554
provo,blocks.4.hook_resid_pre,L05,prefix,bos,55,11.0,0.0,0.0042977603152394,0.9999986290931702,
provo,blocks.5.hook_resid_pre,L06,post,all,2743,45.19212541013489,0.0,0.226112350821495,0.973616361618042,0.8780195476171303
provo,blocks.5.hook_resid_pre,L06,prefix,all,2743,44.58621946773606,0.0,0.2223312556743621,0.973980724811554,0.9983175988760478
provo,blocks.5.hook_resid_pre,L06,prefix,text_token,2688,45.31436011904762,0.0,0.2268477827310562,0.9734483361244202,0.8778226636270576
provo,blocks.5.hook_resid_pre,L06,prefix,bos,55,9.0,0.0,0.0015951559180393,0.9999992847442628,
provo,blocks.6.hook_resid_pre,L07,post,all,2743,51.916879329201606,0.0,0.2471093237400055,0.9685195684432985,0.8649892879177152
provo,blocks.6.hook_resid_pre,L07,prefix,all,2743,51.28837039737514,0.0,0.2431408762931823,0.968923270702362,0.997786884374157
provo,blocks.6.hook_resid_pre,L07,prefix,text_token,2688,52.09226190476191,0.0,0.2480517625808715,0.9682874083518982,0.8646986060952249
provo,blocks.6.hook_resid_pre,L07,prefix,bos,55,12.0,0.0,0.0031322883442044,0.9999966621398926,
provo,blocks.7.hook_resid_pre,L08,post,all,2743,60.37404301859278,0.0,0.2643387913703918,0.9640456438064576,0.8526092932939081
provo,blocks.7.hook_resid_pre,L08,prefix,all,2743,59.49179730222384,0.0,0.2599347233772278,0.964549958705902,0.9969904963106514
provo,blocks.7.hook_resid_pre,L08,prefix,text_token,2688,60.504464285714285,0.0,0.2651615738868713,0.9638246893882751,0.8523019750270805
provo,blocks.7.hook_resid_pre,L08,prefix,bos,55,10.0,0.0,0.00448585068807,0.9999927878379822,
provo,blocks.8.hook_resid_pre,L09,post,all,2743,69.2814436748086,0.0,0.2741681337356567,0.9612087607383728,0.8446360247168904
provo,blocks.8.hook_resid_pre,L09,prefix,all,2743,68.25847612103536,0.0,0.2696900069713592,0.961721122264862,0.9958251871200878
provo,blocks.8.hook_resid_pre,L09,prefix,text_token,2688,69.49144345238095,0.0,0.2751615047454834,0.9609378576278688,0.8441339742012989
provo,blocks.8.hook_resid_pre,L09,prefix,bos,55,8.0,0.0,0.0022829177323728,0.9999983906745912,
provo,blocks.9.hook_resid_pre,L10,post,all,2743,76.48596427269413,0.0,0.2815196514129638,0.9590685963630676,0.8334206813163194
provo,blocks.9.hook_resid_pre,L10,prefix,all,2743,75.56434560699964,0.0,0.2770938873291015,0.9595657587051392,0.9936865542590527
provo,blocks.9.hook_resid_pre,L10,prefix,text_token,2688,76.86495535714286,0.0,0.2827047109603882,0.9587384462356568,0.832745699172262
provo,blocks.9.hook_resid_pre,L10,prefix,bos,55,12.0,0.0,0.0028782582376152,0.9999983906745912,
provo,blocks.10.hook_resid_pre,L11,post,all,2743,58.16806416332483,0.0,0.2974766790866852,0.954372763633728,0.7996066509226044
provo,blocks.10.hook_resid_pre,L11,prefix,all,2743,57.508567262121765,0.0,0.2931355834007263,0.9549826979637146,0.9878995283970796
provo,blocks.10.hook_resid_pre,L11,prefix,text_token,2688,58.48065476190476,0.0,0.2985030710697174,0.9540615081787108,0.7989138815040973
provo,blocks.10.hook_resid_pre,L11,prefix,bos,55,10.0,0.0,0.0308118145912885,0.9999995231628418,
provo,blocks.11.hook_resid_pre,L12,post,all,2743,62.41961356179365,0.0,0.2536678612232208,0.9666209816932678,0.8009353796986866
